numero,respuestas_correctas,learning_objective,k_level,points
01,c,FL-1.1.1,K1,1
02,a,FL-1.2.1,K2,1
03,a,FL-1.3.1,K2,1
04,b,FL-1.4.1,K2,1
05,b,FL-1.4.2,K2,1
06,"a,e",FL-1.4.5,K2,1
07,b,FL-1.5.1,K2,1
08,d,FL-1.5.2,K1,1
09,d,FL-2.1.2,K1,1
10,c,FL-2.1.3,K1,1
11,d,FL-2.1.5,K2,1
12,c,FL-2.1.6,K2,1
13,a,FL-2.2.1,K2,1
14,b,FL-2.2.3,K2,1
15,a,FL-3.1.2,K2,1
16,d,FL-3.2.1,K1,1
17,b,FL-3.2.4,K2,1
18,d,FL-3.2.5,K1,1
19,c,FL-4.1.1,K2,1
20,b,FL-4.2.1,K3,1
21,a,FL-4.2.2,K3,1
22,d,FL-4.2.3,K3,1
23,d,FL-4.2.4,K3,1
24,a,FL-4.3.1,K2,1
25,d,FL-4.3.3,K2,1
26,a,FL-4.4.1,K2,1
27,c,FL-4.4.2,K2,1
28,b,FL-4.5.2,K2,1
29,a,FL-4.5.3,K3,1
30,c,FL-5.1.2,K1,1
31,"c,e",FL-5.1.3,K2,1
32,d,FL-5.1.4,K3,1
33,a,FL-5.1.5,K3,1
34,a,FL-5.1.7,K2,1
35,c,FL-5.2.4,K2,1
36,d,FL-5.3.3,K2,1
37,c,FL-5.4.1,K2,1
38,c,FL-5.5.1,K3,1
39,c,FL-6.1.1,K2,1
40,b,FL-6.2.1,K1,1
