############
BLOQUE:A
############

numero,respuestas_correctas,learning_objective,k_level,points
01,c,FL-1.1.1,K1,1
02,a,FL-1.2.1,K2,1
03,a,FL-1.3.1,K2,1
04,b,FL-1.4.1,K2,1
05,b,FL-1.4.2,K2,1
06,"a,e",FL-1.4.5,K2,1
07,b,FL-1.5.1,K2,1
08,d,FL-1.5.2,K1,1
09,d,FL-2.1.2,K1,1
10,c,FL-2.1.3,K1,1
11,d,FL-2.1.5,K2,1
12,c,FL-2.1.6,K2,1
13,a,FL-2.2.1,K2,1
14,b,FL-2.2.3,K2,1
15,a,FL-3.1.2,K2,1
16,d,FL-3.2.1,K1,1
17,b,FL-3.2.4,K2,1
18,d,FL-3.2.5,K1,1
19,c,FL-4.1.1,K2,1
20,b,FL-4.2.1,K3,1
21,a,FL-4.2.2,K3,1
22,d,FL-4.2.3,K3,1
23,d,FL-4.2.4,K3,1
24,a,FL-4.3.1,K2,1
25,d,FL-4.3.3,K2,1
26,a,FL-4.4.1,K2,1
27,c,FL-4.4.2,K2,1
28,b,FL-4.5.2,K2,1
29,a,FL-4.5.3,K3,1
30,c,FL-5.1.2,K1,1
31,"c,e",FL-5.1.3,K2,1
32,d,FL-5.1.4,K3,1
33,a,FL-5.1.5,K3,1
34,a,FL-5.1.7,K2,1
35,c,FL-5.2.4,K2,1
36,d,FL-5.3.3,K2,1
37,c,FL-5.4.1,K2,1
38,c,FL-5.5.1,K3,1
39,c,FL-6.1.1,K2,1
40,b,FL-6.2.1,K1,1
41,a,FL-1.1.2,K2,1
42,d,FL-1.2.2,K1,1
43,d,FL-1.2.3,K2,1
44,d,FL-1.4.3,K2,1
45,c,FL-1.4.4,K2,1
46,d,FL-1.5.3,K2,1
47,"b,c",FL-2.1.1,K2,1
48,c,FL-2.1.4,K2,1
49,b,FL-2.2.2,K2,1
50,a,FL-2.3.1,K2,1
51,c,FL-3.1.1,K1,1
52,d,FL-3.1.3,K2,1
53,b,FL-3.2.2,K2,1
54,b,FL-3.2.3,K1,1
55,c,FL-4.2.2,K3,1
56,d,FL-4.3.2,K2,1
57,c,FL-4.4.3,K2,1
58,b,FL-4.5.1,K2,1
59,d,FL-5.1.1,K2,1
60,b,FL-5.1.4,K3,1
61,a,FL-5.1.6,K1,1
62,c,FL-5.2.1,K1,1
63,a,FL-5.2.2,K2,1
64,d,FL-5.2.3,K2,1
